uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_SAO CARLOS,12988,0.6621,3.4724,0.4466,5.8208,11.6954,0.1309,75.539,1.2858,0.0231,0.4774,0.3157,0.1309
SC_SAO CRISTOVAO DO SUL,4547,0.1979,1.0556,0.132,4.5305,3.5848,0.022,89.4876,0.3519,0.066,0.4399,0.11,0.022
SC_SAO DOMINGOS,12629,0.4989,2.035,0.2217,6.0496,3.0644,0.095,86.7923,0.7126,0.0158,0.3405,0.0633,0.1109
SC_SAO FRANCISCO DO SUL,49745,0.7358,1.7529,0.1729,4.3844,4.6939,0.1427,87.0459,0.5528,0.0281,0.2814,0.1065,0.1025
SC_SAO JOAO BATISTA,26482,0.691,2.058,0.2115,5.1771,3.7799,0.1057,86.2624,0.9025,0.0982,0.3436,0.2266,0.1435
SC_SAO JOAO DO ITAPERIU,3403,0.4996,1.9982,0.1175,3.1149,4.9074,0.0588,87.893,0.5583,0.0,0.5289,0.2351,0.0882
SC_SAO JOAO DO OESTE,6361,0.7074,3.49,0.4716,5.6909,15.6894,0.1886,71.9227,0.959,0.0,0.4559,0.2358,0.1886
SC_SAO JOAO DO SUL,9289,0.2476,1.055,0.0861,3.5203,2.8636,0.0108,90.3757,0.1938,0.0,0.4199,1.1842,0.0431
SC_SAO JOAQUIM,32600,0.3129,1.7975,0.046,3.1258,2.7546,0.0828,91.1963,0.319,0.0399,0.1933,0.1104,0.0215
SC_SAO JOSE,240668,0.5048,1.7543,0.2024,4.4173,4.6196,0.1084,87.1051,0.6951,0.0499,0.3224,0.1064,0.1143
SC_SAO JOSE DO CEDRO,18262,0.6242,2.6667,0.3121,6.5053,6.2972,0.1369,81.8311,1.0678,0.011,0.2683,0.1862,0.0931
SC_SAO JOSE DO CERRITO,11634,0.2751,1.1862,0.1289,2.9826,2.6044,0.0344,92.4274,0.2579,0.0,0.0688,0.0344,0.0
SC_SAO LOURENCO DO OESTE,28829,0.5238,2.5426,0.2636,6.5802,4.3463,0.1561,84.1618,0.8602,0.0173,0.2983,0.1145,0.1353
