uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
SC_DIONISIO CERQUEIRA,21851,0.6407,1.8901,0.1968,5.4963,15.4867,0.1373,75.1911,0.3524,0.032,0.3249,0.1464,0.1053
SC_DONA EMMA,4524,1.5031,2.122,1.0168,5.3935,30.4377,0.3537,58.1344,0.3537,0.0221,0.3537,0.3095,0.0
SC_DOUTOR PEDRINHO,3760,1.25,2.2606,0.2926,3.2181,25.5319,0.2926,63.7234,0.5851,0.0266,1.117,1.7021,0.0
SC_ENTRE RIOS,3591,0.6683,1.0582,0.2228,5.4581,3.5366,0.1114,88.2206,0.3899,0.0278,0.0557,0.2506,0.0
SC_ERMO,2116,0.1418,2.2684,0.0945,3.3081,3.4499,0.0,89.8393,0.2836,0.0,0.3308,0.2836,0.0
SC_ERVAL VELHO,5744,0.2437,2.7855,0.1567,5.8322,4.8224,0.2089,85.2368,0.296,0.0,0.2786,0.1219,0.0174
SC_FAXINAL DOS GUEDES,12974,0.9712,2.6437,0.2775,6.5824,7.0063,0.0771,80.4918,0.9558,0.0385,0.3777,0.3006,0.2775
SC_FLOR DO SERTAO,1719,0.4072,4.014,1.2798,7.7371,17.2775,1.0471,66.6085,1.338,0.1745,0.0582,0.0582,0.0
SC_FLORIANOPOLIS,541759,0.4888,1.6489,0.2676,4.0319,6.9444,0.1229,85.7267,0.2161,0.0353,0.3167,0.1593,0.0413
SC_FORMOSA DO SUL,2650,0.5283,4.7925,1.3208,12.6038,4.9057,0.0755,75.3208,0.1132,0.0,0.1509,0.1887,0.0
SC_FORQUILHINHA,23174,0.6732,2.0929,0.2114,4.5353,6.257,0.0216,85.2852,0.5523,0.0086,0.2719,0.0863,0.0043
SC_FRAIBURGO,43443,0.6814,1.8576,0.1888,4.8385,6.4498,0.1197,85.0724,0.3614,0.0737,0.2624,0.0875,0.0069
SC_FREI ROGERIO,2774,0.0,2.5955,0.1442,4.434,8.5076,0.1802,83.093,0.6489,0.0,0.0,0.3965,0.0
SC_GALVAO,5533,0.741,3.0002,0.1988,7.645,4.6991,0.0361,82.993,0.2892,0.0361,0.1446,0.0361,0.1807
SC_GAROPABA,21149,0.591,0.8795,0.1466,5.3289,4.2461,0.0804,88.0893,0.1749,0.0473,0.1844,0.227,0.0047
SC_GARUVA,17479,0.801,1.8823,0.3604,4.2279,16.0135,0.3089,75.6794,0.1545,0.0343,0.2403,0.2975,0.0
SC_GASPAR,55384,0.2943,1.5654,0.2113,4.7505,17.1151,0.1553,75.0668,0.2907,0.0469,0.2275,0.2528,0.0235
SC_GOVERNADOR CELSO RAMOS,15188,0.2699,0.5794,0.0329,2.0543,3.1867,0.0395,92.9615,0.7374,0.0132,0.079,0.0395,0.0066
SC_GRAO PARA,7408,0.8234,4.2792,0.216,8.9903,21.1393,0.0945,63.7284,0.54,0.027,0.0135,0.1485,0.0
SC_GRAVATAL,12608,0.9676,1.4277,0.349,2.1574,2.7205,0.0635,91.9971,0.1904,0.0159,0.0714,0.0079,0.0317
SC_GUABIRUBA,20089,0.7118,1.3142,0.1643,5.9734,33.1624,0.0348,56.862,0.2091,0.0348,1.3092,0.2091,0.0149
SC_GUARACIABA,12759,0.337,3.4485,0.2038,8.3079,22.7291,0.0235,63.5395,0.5408,0.0,0.6427,0.1803,0.047
SC_GUARAMIRIM,38399,0.6667,2.7553,0.5729,5.3934,18.2895,0.1563,71.1112,0.2891,0.0391,0.2891,0.4245,0.013
SC_GUARUJA DO SUL,6648,0.6619,1.9404,0.3008,7.8369,30.6408,0.0301,57.0397,0.4362,0.0,0.6619,0.4513,0.0
SC_GUATAMBU,4943,0.4046,3.6011,0.7485,4.6328,10.1355,0.0405,79.2434,0.2428,0.0,0.4855,0.4653,0.0
SC_HERVAL D'OESTE,26576,0.4703,2.7356,0.2295,5.9678,6.2011,0.2371,83.4663,0.2333,0.0075,0.3085,0.1129,0.0301
SC_IBIAM,1852,0.486,3.4557,0.27,9.5032,6.3175,0.054,78.8877,0.324,0.0,0.486,0.162,0.054
SC_IBICARE,4638,0.5175,2.4148,0.1078,7.0073,19.1893,0.3234,70.0517,0.2372,0.0,0.1509,0.0,0.0
SC_IBIRAMA,23331,1.0973,1.8473,0.2743,4.239,33.5391,0.0814,57.5629,0.42,0.0129,0.3815,0.5443,0.0
SC_ICARA,64176,0.3849,1.6283,0.3911,3.9096,3.4624,0.0888,89.6488,0.1465,0.0171,0.2041,0.0919,0.0265
SC_ILHOTA,13716,0.2406,1.4946,0.0875,5.315,14.9315,0.0729,77.1872,0.1094,0.2114,0.226,0.1239,0.0
SC_IMARUI,15391,0.2274,0.5328,0.078,2.0337,1.5334,0.0325,95.4194,0.0715,0.013,0.0455,0.013,0.0
SC_IMBITUBA,44587,0.3387,0.7312,0.083,3.0816,2.5501,0.0628,92.758,0.1166,0.0157,0.1839,0.0493,0.0292
SC_IMBUIA,6597,0.864,2.0161,0.2274,3.4713,23.6623,0.0,67.0759,1.6523,0.1061,0.0606,0.864,0.0
SC_INDAIAL,62914,0.6326,1.9201,0.5309,4.4076,27.2801,0.0906,63.7171,0.2956,0.0509,0.5738,0.48,0.0207
SC_IOMERE,2249,0.4891,2.7568,0.3557,12.9391,9.0262,0.1334,72.0765,0.4002,0.0,0.4002,1.4229,0.0
SC_IPIRA,5845,0.7528,1.6424,0.1198,9.0676,32.4551,0.2908,54.7476,0.0,0.0,0.3251,0.5133,0.0855
SC_IPORA DO OESTE,9019,0.6209,4.4351,0.2883,8.0053,38.6296,0.1885,46.7458,0.0776,0.0,0.1996,0.8094,0.0
SC_IPUACU,7113,0.2109,1.3637,0.2249,8.2947,2.3338,0.0141,87.2768,0.0844,0.0,0.1828,0.0141,0.0
SC_IPUMIRIM,9004,0.4554,2.6544,0.3221,11.2172,21.9014,0.3332,61.5726,0.1333,0.0,1.1217,0.1777,0.1111
SC_IRACEMINHA,4868,1.2325,2.3007,0.6368,7.3336,19.9671,0.3081,67.6664,0.1849,0.1233,0.1233,0.1233,0.0
SC_IRANI,10505,1.2946,2.951,0.3617,6.6825,9.1099,0.0476,78.6292,0.1428,0.0095,0.5616,0.1618,0.0476
SC_IRATI,2280,1.7105,3.6404,0.9649,8.5965,9.2105,0.1754,74.9561,0.4386,0.0877,0.2193,0.0,0.0
SC_IRINEOPOLIS,10967,0.8206,4.7597,3.0273,5.8357,20.9902,0.1277,61.6395,0.9209,0.5653,0.6474,0.4194,0.2462
SC_ITA,8296,0.2772,5.0868,0.2049,7.811,23.0593,0.2893,62.271,0.6268,0.0241,0.1326,0.2049,0.0121
SC_ITAIOPOLIS,25054,0.8182,5.8274,4.2788,4.7657,25.7843,0.3353,55.2447,1.0657,0.1636,0.7663,0.4231,0.5269
SC_ITAJAI,219388,0.4449,1.7658,0.2525,3.9009,6.9917,0.0857,85.9322,0.2329,0.0205,0.1682,0.1782,0.0264
SC_ITAPEMA,50091,0.575,1.8586,0.2855,4.4779,9.2332,0.1278,82.5797,0.2655,0.0459,0.2436,0.2535,0.0539
SC_ITAPIRANGA,19727,0.4664,2.3977,0.1065,4.1567,43.2859,0.1065,48.867,0.1166,0.0051,0.1267,0.365,0.0
SC_ITAPOA,13244,0.3247,2.2274,0.6116,3.9565,9.6799,0.1586,82.1429,0.3096,0.0453,0.2567,0.1737,0.1133
SC_ITUPORANGA,27565,0.6675,2.6447,0.1524,5.409,24.5964,0.0218,64.3642,0.8562,0.1814,0.214,0.8816,0.0109
SC_JABORA,5464,0.3111,4.429,0.0549,10.6515,6.131,0.183,77.5988,0.3111,0.0,0.2379,0.0732,0.0183
SC_JACINTO MACHADO,13802,0.6014,3.2314,0.2391,7.8757,3.6299,0.0652,83.6473,0.3043,0.0507,0.2536,0.1014,0.0
SC_JAGUARUNA,20186,0.2873,1.2385,0.0099,2.6603,1.8478,0.0099,93.5995,0.1139,0.005,0.1536,0.0495,0.0248
SC_JARAGUA DO SUL,160490,0.6281,2.2494,0.6237,5.0277,23.5741,0.1215,66.2783,0.4461,0.0567,0.377,0.5527,0.0648
SC_JARDINOPOLIS,1855,1.1321,3.0728,0.7547,10.6199,5.8221,0.0539,76.7116,0.3774,0.0,0.9704,0.2695,0.2156
SC_JOACABA,36498,0.5069,2.4686,0.411,7.0826,11.8609,0.3589,76.3357,0.3808,0.0137,0.3726,0.1726,0.0356
SC_JOINVILLE,593694,0.6367,1.8953,0.3776,4.2121,14.497,0.1115,77.4114,0.2446,0.0443,0.2525,0.2724,0.0446
SC_JOSE BOITEUX,5207,0.4225,5.3198,0.3265,6.0688,17.6301,0.0,68.2927,0.3073,0.0,1.0947,0.5377,0.0
SC_JUPIA,1837,0.7077,4.1916,0.1089,10.2885,6.3691,0.2177,78.1165,0.0,0.0,0.0,0.0,0.0
SC_LACERDOPOLIS,2896,0.518,2.5898,1.4157,8.529,5.0414,0.587,80.3177,0.4144,0.0,0.518,0.0,0.0691
SC_LAGES,194946,0.4935,1.1737,0.118,2.2755,6.2869,0.0554,89.0831,0.1913,0.0333,0.1944,0.059,0.0359
SC_LAGUNA,60641,0.4469,0.7849,0.094,1.5715,2.0085,0.033,94.7758,0.0643,0.0066,0.1699,0.0363,0.0082
SC_LAJEADO GRANDE,1364,0.1466,3.2991,1.0264,15.0293,3.2991,0.0,76.3196,0.1466,0.0,0.7331,0.0,0.0
SC_LAURENTINO,6945,0.504,2.2462,0.2592,6.0619,11.5191,0.3456,74.8596,0.5472,3.3693,0.0288,0.2592,0.0
SC_LAURO MULLER,17042,1.0034,2.5877,0.2288,5.9969,3.1921,0.0821,86.3631,0.3755,0.0,0.1291,0.0411,0.0
SC_LEBON REGIS,13451,0.0966,1.0036,0.342,3.0853,6.3564,0.3866,88.3131,0.052,0.0297,0.1933,0.1338,0.0074
SC_LEOBERTO LEAL,4491,0.2449,3.2955,0.1113,9.2407,35.2705,0.0,46.0477,4.5424,0.2895,0.3785,0.4453,0.1336
SC_LINDOIA DO SUL,5243,1.2779,3.7192,0.3052,11.6346,7.9535,0.1526,73.5075,0.782,0.0,0.1526,0.1907,0.3242
SC_LONTRAS,12260,0.571,2.7814,0.6525,4.429,30.6444,0.0163,59.1354,0.4649,0.0653,0.522,0.677,0.0408
SC_LUIZ ALVES,2945,0.6791,2.5467,0.0679,8.2513,30.2547,0.034,56.944,0.6791,0.1358,0.2377,0.1019,0.0679
SC_LUZERNA,5448,0.1468,2.1659,0.6608,6.92,27.533,0.0184,60.591,0.2203,0.0,0.9912,0.3304,0.4222
SC_MACIEIRA,1392,0.431,2.227,0.0718,9.1236,4.454,0.431,82.4713,0.2155,0.0,0.2874,0.0,0.2874
